locus_id,accession,gene_gi,scaffold_id,start,stop,strand,gene_id,gene_name,gene_desc,cog,cog_fun,cog_desc,tigr_fam,tigr_roles,go,ec,ec_desc
208926,YP_009226.1,46578418.0,1944,151,1464,+,DVU0001,dnaA-1,chromosomal replication initiator protein DnaA (TIGR),COG593,L,ATPase involved in DNA replication initiation,,,"GO:0006275,GO:0006270,GO:0005524,GO:0003688,GO:0043565,GO:0017111",,
208928,YP_009227.1,46578419.0,1944,1610,2764,+,DVU0002,dnaN,"DNA polymerase III, beta subunit (TIGR)",COG592,L,DNA polymerase sliding clamp subunit (PCNA homolog),"TIGR00663 DNA polymerase III, beta subunit [dnaN]","DNA metabolism:DNA replication, recombination, and repair","GO:0006260,GO:0016449,GO:0003895,GO:0016000,GO:0003891,GO:0016450,GO:0015999,GO:0003890,GO:0016448,GO:0016452,GO:0003889,GO:0019984,GO:0008408,GO:0016451,GO:0003893,GO:0003894,GO:0003677",2.7.7.7,DNA-directed DNA polymerase.
208929,YP_009228.1,46578420.0,1944,2766,5162,+,DVU0003,gyrB,"DNA gyrase, B subunit (TIGR)",COG187,L,"Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit","TIGR01059 DNA gyrase, B subunit [gyrB]","DNA metabolism:DNA replication, recombination, and repair","GO:0006265,GO:0005694,GO:0005524,GO:0003918",5.99.1.3,DNA topoisomerase (ATP-hydrolyzing).
208931,YP_009229.1,46578421.0,1944,5262,7832,+,DVU0004,gyrA,"DNA gyrase, A subunit (TIGR)",COG188,L,"Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit","TIGR01063 DNA gyrase, A subunit [gyrA]","DNA metabolism:DNA replication, recombination, and repair","GO:0006268,GO:0006265,GO:0005694,GO:0005524,GO:0003918",5.99.1.3,DNA topoisomerase (ATP-hydrolyzing).
208932,YP_009230.1,46578422.0,1944,7835,8620,+,DVU0005,DVU0005,"lipoprotein, putative (TIGR)",,,,,,GO:0005488,,
208933,YP_009231.1,46578423.0,1944,9377,8913,-,DVU0006,DVU0006,universal stress protein family (TIGR),COG589,T,Universal stress protein UspA and related nucleotide-binding proteins,,,GO:0006950,,
208934,YP_009232.1,46578424.0,1944,10937,9552,-,DVU0007,asnS,asparaginyl-tRNA synthetase (TIGR),COG17,J,Aspartyl/asparaginyl-tRNA synthetases,TIGR00457 asparagine--tRNA ligase [asnS],Protein synthesis:tRNA aminoacylation,"GO:0006421,GO:0006422,GO:0005737,GO:0003676,GO:0005524,GO:0004815,GO:0004816",6.1.1.22,Asparagine--tRNA ligase.
208935,YP_009233.1,46578425.0,1944,11220,11095,-,DVU0008,DVU0008,hypothetical protein (TIGR),,,,,,,,
208936,YP_009234.1,46578426.0,1944,12961,11681,-,DVU0009,dctM,DedA family protein (TIGR),COG1593,G,"TRAP-type C4-dicarboxylate transport system, large permease component","TIGR00786 TRAP transporter, DctM subunit","Transport and binding proteins:Carbohydrates, organic alcohols, and acids",GO:0016021,,
208937,YP_009235.1,46578427.0,1944,13524,12958,-,DVU0010,DVU0010,"TRAP transporter, DctQ family (TIGR)",COG3090,G,"TRAP-type C4-dicarboxylate transport system, small permease component",,,,,
208938,YP_009236.1,46578428.0,1944,14611,13586,-,DVU0011,DVU0011,TRAP dicarboxylate family transporter (TIGR),COG1638,G,"TRAP-type C4-dicarboxylate transport system, periplasmic component","TIGR00787 TRAP transporter solute receptor, DctP family","Transport and binding proteins:Carbohydrates, organic alcohols, and acids","GO:0006810,GO:0030288",,
208939,YP_009237.1,46578429.0,1944,15099,16301,+,DVU0012,DVU0012,hypothetical protein (TIGR),,,,,,GO:0000166,,
208940,YP_009238.1,46578430.0,1944,16462,18270,+,DVU0013,DVU0013,sensory box histidine kinase (TIGR),COG4191,T,Signal transduction histidine kinase regulating C4-dicarboxylate transport system,TIGR00229 PAS domain S-box protein,Regulatory functions:Small molecule interactions,"GO:0018106,GO:0006355,GO:0000160,GO:0016020,GO:0000155,GO:0005524","2.7.13.3,2.7.3.-","Histidine kinase.,"
